Company,Symbol,Weight,Price,Chg,%Chg
MicrosoftCorp,MSFT,11.472,137.71,-0.15,(-0.11%)
AppleInc,AAPL,10.43,208.15,-0.59,(-0.28%)
Amazon.comInc,AMZN,9.498,1,775.10,-1.19,(-0.07%)
FacebookInc,FB,4.89,185.22,-0.45,(-0.24%)
AlphabetInc,GOOG,4.527,1,187.00,-1.10,(-0.09%)
AlphabetInc,GOOGL,3.979,1,190.49,-0.04,(-0.00%)
IntelCorp,INTC,2.558,47.34,-0.07,(-0.15%)
ComcastCorp,CMCSA,2.416,44.16,-0.10,(-0.23%)
CiscoSystemsInc,CSCO,2.415,46.70,-0.11,(-0.23%)
PepsiCoInc,PEP,2.31,136.87,0.14,(0.10%)
AdobeInc,ADBE,1.673,283.72,-0.79,(-0.28%)
CostcoWholesaleCorp,COST,1.563,294.00,-0.76,(-0.26%)
NetflixInc,NFLX,1.548,293.74,-0.01,(-0.00%)
PayPalHoldingsInc,PYPL,1.544,108.65,-0.40,(-0.37%)
AmgenInc,AMGN,1.533,209.83,1.21,(0.58%)
StarbucksCorp,SBUX,1.409,96.42,-0.14,(-0.14%)
TexasInstrumentsInc,TXN,1.399,123.50,-0.25,(-0.20%)
BroadcomInc,AVGO,1.348,282.00,-0.64,(-0.23%)
NVIDIACorp,NVDA,1.229,167.45,-0.06,(-0.04%)
QUALCOMMInc,QCOM,1.139,77.70,-0.07,(-0.09%)
CharterCommunicationsInc,CHTR,1.103,409.59,0.00,(0.00%)
BookingHoldingsInc,BKNG,1.026,1,966.39,-0.02,(-0.00%)
GileadSciencesInc,GILD,0.974,63.54,0.00,(0.00%)
MondelezInternationalInc,MDLZ,0.959,55.16,-0.06,(-0.11%)
IntuitInc,INTU,0.901,288.36,0.00,(0.00%)
AutomaticDataProcessingInc,ADP,0.891,169.84,0.00,(0.00%)
FiservInc,FISV,0.876,106.95,0.01,(0.01%)
CelgeneCorp,CELG,0.823,96.56,-0.24,(-0.25%)
T-MobileUSInc,TMUS,0.804,78.05,0.00,(0.00%)
IntuitiveSurgicalInc,ISRG,0.711,511.40,0.06,(0.01%)
CSXCorp,CSX,0.654,67.02,0.00,(0.00%)
MicronTechnologyInc,MU,0.604,45.21,-0.06,(-0.13%)
WalgreensBootsAllianceInc,WBA,0.564,51.20,0.01,(0.02%)
VertexPharmaceuticalsInc,VRTX,0.556,177.00,-3.02,(-1.68%)
AppliedMaterialsInc,AMAT,0.542,48.10,0.08,(0.17%)
BiogenInc,BIIB,0.513,219.75,0.00,(0.00%)
MarriottInternationalInc/MD,MAR,0.506,125.40,-0.66,(-0.52%)
IlluminaInc,ILMN,0.498,281.34,0.00,(0.00%)
AnalogDevicesInc,ADI,0.489,109.37,-0.46,(-0.42%)
TeslaInc,TSLA,0.482,226.36,0.75,(0.33%)
RossStoresInc,ROST,0.469,106.01,0.00,(0.00%)
ActivisionBlizzardInc,ATVI,0.467,50.70,0.10,(0.20%)
eBayInc,EBAY,0.423,40.30,0.01,(0.02%)
CognizantTechnologySolutionsCorp,CTSH,0.421,61.39,0.00,(0.00%)
AdvancedMicroDevicesInc,AMD,0.41,31.38,-0.07,(-0.22%)
NXPSemiconductorsNV,NXPI,0.405,101.36,-0.78,(-0.76%)
XcelEnergyInc,XEL,0.398,64.16,-0.06,(-0.09%)
MonsterBeverageCorp,MNST,0.384,58.67,0.00,(0.00%)
LamResearchCorp,LRCX,0.38,210.51,0.00,(0.00%)
AutodeskInc,ADSK,0.379,141.51,-1.31,(-0.92%)
RegeneronPharmaceuticalsInc,REGN,0.377,290.00,-0.05,(-0.02%)
KraftHeinzCo/The,KHC,0.375,25.65,0.13,(0.51%)
O'ReillyAutomotiveInc,ORLY,0.362,383.76,0.00,(0.00%)
PaychexInc,PAYX,0.354,81.70,0.00,(0.00%)
MercadoLibreInc,MELI,0.353,594.60,0.00,(0.00%)
BaiduIncADR,BIDU,0.351,104.52,0.05,(0.05%)
WorkdayInc,WDAY,0.346,177.00,-0.28,(-0.16%)
SiriusXMHoldingsInc,SIRI,0.343,6.16,-0.01,(-0.16%)
JD.comIncADR,JD,0.34,30.48,-0.02,(-0.07%)
ElectronicArtsInc,EA,0.336,93.68,0.00,(0.00%)
CintasCorp,CTAS,0.332,263.80,0.00,(0.00%)
VeriskAnalyticsInc,VRSK,0.319,161.54,0.00,(0.00%)
XilinxInc,XLNX,0.318,104.00,-0.06,(-0.06%)
WillisTowersWatsonPLC,WLTW,0.308,197.97,0.00,(0.00%)
IDEXXLaboratoriesInc,IDXX,0.3,289.74,0.00,(0.00%)
VeriSignInc,VRSN,0.293,203.85,0.00,(0.00%)
DollarTreeInc,DLTR,0.291,101.49,-0.04,(-0.04%)
KLACorp,KLAC,0.288,147.90,0.00,(0.00%)
PACCARInc,PCAR,0.274,65.56,0.00,(0.00%)
LululemonAthleticaInc,LULU,0.273,184.11,-0.56,(-0.30%)
AlexionPharmaceuticalsInc,ALXN,0.272,101.30,0.54,(0.54%)
CernerCorp,CERN,0.27,68.90,-0.01,(-0.01%)
UnitedAirlinesHoldingsInc,UAL,0.267,84.20,-0.11,(-0.13%)
SynopsysInc,SNPS,0.256,141.81,0.00,(0.00%)
MicrochipTechnologyInc,MCHP,0.248,86.33,0.00,(0.00%)
CadenceDesignSystemsInc,CDNS,0.232,68.30,-0.18,(-0.26%)
NetEaseIncADR,NTES,0.224,255.00,0.00,(0.00%)
ExpediaGroupInc,EXPE,0.213,130.10,0.00,(0.00%)
FastenalCo,FAST,0.211,30.62,0.00,(0.00%)
IncyteCorp,INCY,0.211,81.82,0.00,(0.00%)
WesternDigitalCorp,WDC,0.202,57.23,-0.04,(-0.07%)
CheckPointSoftwareTechnologiesLtd,CHKP,0.198,107.70,0.00,(0.00%)
ASMLHoldingNV,ASML,0.196,222.59,-0.02,(-0.01%)
Ctrip.comInternationalLtdADR,CTRP,0.19,32.37,-0.01,(-0.03%)
MaximIntegratedProductsInc,MXIM,0.179,54.54,0.00,(0.00%)
Take-TwoInteractiveSoftwareInc,TTWO,0.179,131.97,0.00,(0.00%)
AlignTechnologyInc,ALGN,0.177,182.98,-0.13,(-0.07%)
SymantecCorp,SYMC,0.173,23.24,-0.01,(-0.04%)
HasbroInc,HAS,0.168,110.47,0.00,(0.00%)
UltaBeautyInc,ULTA,0.167,236.00,-1.73,(-0.73%)
LibertyGlobalPLC,LBTYK,0.164,26.12,0.00,(0.00%)
BioMarinPharmaceuticalInc,BMRN,0.162,75.06,0.00,(0.00%)
SkyworksSolutionsInc,SWKS,0.157,75.27,0.00,(0.00%)
CitrixSystemsInc,CTXS,0.148,92.98,0.00,(0.00%)
WynnResortsLtd,WYNN,0.143,110.10,-0.05,(-0.05%)
NetAppInc,NTAP,0.143,48.06,0.00,(0.00%)
JBHuntTransportServicesInc,JBHT,0.142,108.04,0.00,(0.00%)
AmericanAirlinesGroupInc,AAL,0.141,26.39,0.08,(0.30%)
FoxCorp,FOXA,0.138,33.17,0.23,(0.70%)
MylanNV,MYL,0.121,19.00,-0.47,(-2.41%)
HenryScheinInc,HSIC,0.111,61.62,0.00,(0.00%)
FoxCorp,FOX,0.104,32.65,0.08,(0.25%)
LibertyGlobalPLC,LBTYA,0.066,26.72,0.00,(0.00%)
